run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,fc2,21,ERG_gap,3,280.0,8.544004,4.932883,0.95,4.302653,21.224482,258.775518,301.224482,271.0,288.0
AdamW,adamw,AdamW,fc2,22,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,23,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,24,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,25,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,26,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,27,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,28,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,29,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc2,30,ERG_gap,3,280.333333,8.621678,4.977728,0.95,4.302653,21.417436,258.915898,301.750769,271.0,288.0
AdamW,adamw,AdamW,fc3,0,ERG_gap,3,2.0,0.0,0.0,0.95,4.302653,0.0,2.0,2.0,2.0,2.0
AdamW,adamw,AdamW,fc3,1,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
AdamW,adamw,AdamW,fc3,2,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,3,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,4,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
