run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,1,mean_gradient_norm_before_clip,3,3.210464,0.2115267,0.122125,0.95,4.302653,0.5254615,2.685003,3.735926,3.023212,3.439907
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,2,mean_gradient_norm_before_clip,3,0.9109269,0.03498997,0.02020147,0.95,4.302653,0.0869199,0.824007,0.9978468,0.8813932,0.9495709
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,3,mean_gradient_norm_before_clip,3,0.7422288,0.0109532,0.006323833,0.95,4.302653,0.02720926,0.7150195,0.769438,0.7313714,0.7532754
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,4,mean_gradient_norm_before_clip,3,0.6198741,0.02085965,0.01204332,0.95,4.302653,0.05181824,0.5680558,0.6716923,0.5961109,0.6351627
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,5,mean_gradient_norm_before_clip,3,0.5667341,0.02596044,0.01498827,0.95,4.302653,0.06448931,0.5022448,0.6312235,0.5420663,0.5938183
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,6,mean_gradient_norm_before_clip,3,0.4992765,0.0290628,0.01677942,0.95,4.302653,0.07219601,0.4270805,0.5714725,0.4659742,0.5195144
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,7,mean_gradient_norm_before_clip,3,0.4680698,0.01070201,0.00617881,0.95,4.302653,0.02658527,0.4414846,0.4946551,0.4567227,0.4779819
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,8,mean_gradient_norm_before_clip,3,0.4205926,0.009018116,0.005206612,0.95,4.302653,0.02240224,0.3981903,0.4429948,0.4129981,0.4305598
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,9,mean_gradient_norm_before_clip,3,0.3707862,0.02061078,0.01189964,0.95,4.302653,0.05120002,0.3195862,0.4219863,0.3499779,0.3911936
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,10,mean_gradient_norm_before_clip,3,0.3260361,0.01104445,0.006376518,0.95,4.302653,0.02743594,0.2986002,0.353472,0.3158529,0.3377765
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,11,mean_gradient_norm_before_clip,3,0.2958157,0.01409199,0.008136014,0.95,4.302653,0.03500644,0.2608093,0.3308221,0.2860157,0.3119653
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,12,mean_gradient_norm_before_clip,3,0.2434572,0.01335321,0.007709479,0.95,4.302653,0.03317121,0.210286,0.2766284,0.2313948,0.257806
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,13,mean_gradient_norm_before_clip,3,0.1799546,0.01061121,0.006126386,0.95,4.302653,0.02635971,0.1535949,0.2063144,0.1702226,0.1912676
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,14,mean_gradient_norm_before_clip,3,0.1544401,0.007051536,0.004071206,0.95,4.302653,0.01751699,0.1369231,0.1719571,0.149944,0.1625672
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,15,mean_gradient_norm_before_clip,3,0.1099751,0.01090353,0.006295158,0.95,4.302653,0.02708588,0.08288919,0.1370609,0.09909771,0.1209046
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,16,mean_gradient_norm_before_clip,3,0.07015294,0.01195987,0.006905034,0.95,4.302653,0.02970996,0.04044298,0.09986291,0.06285298,0.08395533
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,17,mean_gradient_norm_before_clip,3,0.0500955,0.003007136,0.001736171,0.95,4.302653,0.007470139,0.04262536,0.05756564,0.04815821,0.05355975
