run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,12,mean_gradient_norm_before_clip,3,0.1573942,0.05668413,0.0327266,0.95,4.302653,0.1408112,0.01658305,0.2982054,0.09797856,0.2108807
AdamW,adamw,AdamW,13,mean_gradient_norm_before_clip,3,0.1459886,0.04930172,0.02846436,0.95,4.302653,0.1224723,0.0235163,0.2684608,0.090987,0.1862086
AdamW,adamw,AdamW,14,mean_gradient_norm_before_clip,3,0.1950525,0.09153424,0.05284732,0.95,4.302653,0.2273837,-0.03233114,0.4224362,0.1018899,0.2848665
AdamW,adamw,AdamW,15,mean_gradient_norm_before_clip,3,0.09804202,0.07186819,0.04149312,0.95,4.302653,0.1785305,-0.08048845,0.2765725,0.02315415,0.1664519
AdamW,adamw,AdamW,16,mean_gradient_norm_before_clip,3,0.05723242,0.05546143,0.03202067,0.95,4.302653,0.1377738,-0.0805414,0.1950063,0.00964336,0.1181407
AdamW,adamw,AdamW,17,mean_gradient_norm_before_clip,3,0.01864506,0.02022744,0.01167832,0.95,4.302653,0.05024775,-0.03160269,0.06889282,0.005739764,0.04195711
AdamW,adamw,AdamW,18,mean_gradient_norm_before_clip,3,0.006889825,0.003058988,0.001766108,0.95,4.302653,0.007598947,-0.0007091219,0.01448877,0.004788538,0.0103993
AdamW,adamw,AdamW,19,mean_gradient_norm_before_clip,3,0.004725761,0.0008694049,0.0005019512,0.95,4.302653,0.002159721,0.002566039,0.006885482,0.004139575,0.005724654
AdamW,adamw,AdamW,20,mean_gradient_norm_before_clip,3,0.00408528,0.0004941553,0.0002853007,0.95,4.302653,0.00122755,0.00285773,0.00531283,0.003791889,0.004655804
AdamW,adamw,AdamW,21,mean_gradient_norm_before_clip,3,0.003649997,0.0003593122,0.000207449,0.95,4.302653,0.0008925811,0.002757416,0.004542578,0.003425002,0.004064385
AdamW,adamw,AdamW,22,mean_gradient_norm_before_clip,3,0.003320344,0.0003185312,0.0001839041,0.95,4.302653,0.0007912754,0.002529068,0.004111619,0.003129851,0.003688072
AdamW,adamw,AdamW,23,mean_gradient_norm_before_clip,3,0.003028569,0.0002541783,0.0001467499,0.95,4.302653,0.0006314138,0.002397155,0.003659983,0.002841475,0.003317956
AdamW,adamw,AdamW,24,mean_gradient_norm_before_clip,3,0.002807695,0.0002104677,0.0001215136,0.95,4.302653,0.0005228308,0.002284864,0.003330526,0.002684629,0.003050715
AdamW,adamw,AdamW,25,mean_gradient_norm_before_clip,3,0.002605263,0.0001696892,9.797012e-05,0.95,4.302653,0.0004215314,0.002183732,0.003026795,0.002492899,0.002800461
AdamW,adamw,AdamW,26,mean_gradient_norm_before_clip,3,0.002464678,0.0001583543,9.142592e-05,0.95,4.302653,0.000393374,0.002071304,0.002858052,0.002346319,0.002644561
AdamW,adamw,AdamW,27,mean_gradient_norm_before_clip,3,0.002322877,0.0001801831,0.0001040287,0.95,4.302653,0.0004475995,0.001875278,0.002770477,0.002169714,0.002521409
AdamW,adamw,AdamW,28,mean_gradient_norm_before_clip,3,0.002226977,0.0001613674,9.316551e-05,0.95,4.302653,0.0004008588,0.001826119,0.002627836,0.00210627,0.002410261
