arm,arm_label,family,variant,layer,epoch,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,11,alpha,3,3.021297,0.174914,0.100986,0.434509,2.586788,3.455807,2.877531,3.216035
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,12,alpha,3,3.153925,0.161592,0.093295,0.401416,2.752509,3.555341,2.968918,3.267432
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,13,alpha,3,3.160121,0.167998,0.096993,0.417329,2.742792,3.57745,2.967559,3.276722
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,14,alpha,3,3.167848,0.173261,0.100032,0.430403,2.737445,3.598251,2.969258,3.288134
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,15,alpha,3,3.171009,0.173408,0.100117,0.430769,2.74024,3.601777,2.972234,3.291294
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,16,alpha,3,3.17405,0.177825,0.102668,0.441743,2.732307,3.615793,2.970954,3.301791
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,17,alpha,3,3.176628,0.179425,0.103591,0.445717,2.730911,3.622344,2.971471,3.304236
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,18,alpha,3,3.180836,0.18431,0.106411,0.457851,2.722986,3.638687,2.9705,3.314096
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,19,alpha,3,3.182619,0.184074,0.106275,0.457266,2.725353,3.639886,2.971863,3.311864
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,20,alpha,3,3.183559,0.186596,0.107731,0.463531,2.720029,3.64709,2.970224,3.316385
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,21,alpha,3,3.183852,0.18664,0.107756,0.463639,2.720213,3.647491,2.970541,3.317119
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,22,alpha,3,3.258025,0.068067,0.039298,0.169087,3.088938,3.427112,3.185733,3.320882
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,23,alpha,3,3.258346,0.069583,0.040174,0.172853,3.085492,3.431199,3.184605,3.322848
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,24,alpha,3,3.258645,0.070152,0.040502,0.174267,3.084378,3.432911,3.184256,3.323607
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,25,alpha,3,3.259085,0.070264,0.040567,0.174547,3.084539,3.433632,3.184566,3.324134
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,26,alpha,3,3.259453,0.070118,0.040483,0.174182,3.08527,3.433635,3.185223,3.324567
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,27,alpha,3,3.259833,0.070037,0.040436,0.173982,3.085851,3.433815,3.185936,3.325235
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,28,alpha,3,3.25995,0.069781,0.040288,0.173347,3.086603,3.433297,3.186308,3.325092
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,29,alpha,3,3.260105,0.069752,0.040271,0.173273,3.086832,3.433379,3.186511,3.325244
old_sgd,old SGD + Nesterov,sgd_momentum,old,fc3,30,alpha,3,3.260169,0.069767,0.04028,0.173311,3.086858,3.433481,3.186568,3.325335
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,0,alpha,3,11.646882,7.859929,4.537932,19.525145,-7.878264,31.172027,6.148255,20.649379
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,1,alpha,3,20.590218,9.628028,5.558745,23.917348,-3.32713,44.507566,14.550655,31.69342
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,2,alpha,3,10.597709,5.089914,2.938663,12.644048,-2.046339,23.241757,6.701402,16.356548
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,3,alpha,3,4.750373,0.964763,0.557006,2.396604,2.35377,7.146977,3.64795,5.440379
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,4,alpha,3,3.881948,0.344268,0.198763,0.855209,3.026738,4.737157,3.596204,4.264159
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,5,alpha,3,3.23303,0.415428,0.239847,1.031979,2.201051,4.265009,2.912313,3.702315
