run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,22,ERG_gap,3,116.0,29.137605,16.822604,0.95,4.302653,72.381822,43.618178,188.381822,91.0,148.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,23,ERG_gap,3,114.333333,34.847286,20.11909,0.95,4.302653,86.565457,27.767876,200.89879,77.0,146.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,24,ERG_gap,3,112.333333,33.501244,19.341952,0.95,4.302653,83.221703,29.11163,195.555036,76.0,142.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,25,ERG_gap,3,117.0,12.124356,7.0,0.95,4.302653,30.118569,86.881431,147.118569,104.0,128.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,26,ERG_gap,3,113.333333,12.858201,7.423686,0.95,4.302653,31.941542,81.391791,145.274875,104.0,128.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,27,ERG_gap,3,115.333333,16.289056,9.404491,0.95,4.302653,40.464257,74.869076,155.797591,104.0,134.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,28,ERG_gap,3,116.666667,15.143756,8.743251,0.95,4.302653,37.619174,79.047492,154.285841,106.0,134.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,29,ERG_gap,3,116.333333,14.571662,8.412953,0.95,4.302653,36.198015,80.135318,152.531348,106.0,133.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc2,30,ERG_gap,3,112.666667,14.224392,8.212457,0.95,4.302653,35.335349,77.331318,148.002016,103.0,129.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,0,ERG_gap,3,2.0,0.0,0.0,0.95,4.302653,0.0,2.0,2.0,2.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,1,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,2,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,3,ERG_gap,3,0.666667,0.57735,0.333333,0.95,4.302653,1.434218,-0.767551,2.100884,0.0,1.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,4,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,5,ERG_gap,3,0.666667,0.57735,0.333333,0.95,4.302653,1.434218,-0.767551,2.100884,0.0,1.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,6,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,7,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,8,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,9,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,10,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,11,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,12,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,13,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,14,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,15,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,16,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,17,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,18,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,19,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,20,ERG_gap,3,1.333333,1.154701,0.666667,0.95,4.302653,2.868435,-1.535102,4.201768,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,21,ERG_gap,3,1.333333,1.154701,0.666667,0.95,4.302653,2.868435,-1.535102,4.201768,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,22,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,23,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,24,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,25,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,26,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,27,ERG_gap,3,1.0,1.0,0.57735,0.95,4.302653,2.484138,-1.484138,3.484138,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,28,ERG_gap,3,1.333333,1.154701,0.666667,0.95,4.302653,2.868435,-1.535102,4.201768,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,29,ERG_gap,3,1.333333,1.154701,0.666667,0.95,4.302653,2.868435,-1.535102,4.201768,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc3,30,ERG_gap,3,1.333333,1.154701,0.666667,0.95,4.302653,2.868435,-1.535102,4.201768,0.0,2.0
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,0,alpha,3,11.646882,7.859929,4.537932,0.95,4.302653,19.525145,-7.878264,31.172027,6.148255,20.649379
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,1,alpha,3,20.590218,9.628028,5.558745,0.95,4.302653,23.917348,-3.32713,44.507566,14.550655,31.69342
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,2,alpha,3,10.597709,5.089914,2.938663,0.95,4.302653,12.644048,-2.046339,23.241757,6.701402,16.356548
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,3,alpha,3,4.750373,0.964763,0.557006,0.95,4.302653,2.396604,2.35377,7.146977,3.64795,5.440379
